Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-192.9013	46.913593	-17.333763	-308.71753	39.49505	0.08275649	0.19422957	0.46516776	-0.537968	4000	-1.4066696e-07	1894.8851	-0.028324015	-1073.5667	0.9189432	0.019467682	0.31375	4.0	94.65966248512268
1	-174.51454	60.188805	26.688515	-288.49805	38.54369	-17.82587	0.6257064	-3.5572338	-18.003374	8000	-2.771616e-08	844.4344	-0.024403803	-306.1471	0.91882163	0.017560096	0.22675	4.0	131.5085425376892
2	-165.88525	72.38095	17.033924	-316.1281	36.787037	-26.342283	0.7278576	-14.230556	-26.516909	12000	-2.7179718e-08	654.46265	-0.016022112	-158.07626	0.9187196	0.01731669	0.18025	4.0	168.7757408618927
3	-133.6545	82.83774	18.387552	-297.5531	33.478992	-32.97935	0.27375507	-29.243383	-33.0702	16000	-3.4570693e-08	529.69336	-0.027002528	-23.35672	0.9186322	0.015663642	0.25625	15.0	207.95276188850403
4	-114.0218	86.83725	36.859722	-271.4925	30.450382	-35.743813	0.5409182	-21.025122	-35.85064	20000	-7.1525574e-10	598.19244	-0.04098778	-1.4464722	0.91833127	0.015029367	0.203	47.0	247.23461890220642
5	-77.30347	79.07528	28.115965	-274.35855	25.961039	-35.979633	0.8934801	-28.86465	-36.2446	24000	-8.970499e-09	715.24976	-0.03936173	-78.225525	0.9171892	0.015034126	0.2095	32.0	286.3034324645996
6	-66.16354	83.80806	37.226963	-290.31128	22.844828	-28.827747	0.7937523	-18.162918	-29.435078	28000	1.1205673e-08	752.1408	-0.043498084	-53.04297	0.9162851	0.015059536	0.19525	48.0	326.4914507865906
7	-27.824432	58.242188	37.82015	-260.69638	17.513159	-24.289648	1.7414382	-19.567558	-28.367895	32000	-5.4717063e-08	713.26825	-0.046712574	-214.90799	0.9145982	0.015221353	0.216	46.0	367.28833746910095
8	-12.212087	43.562084	39.70617	-229.14662	14.996241	-10.344904	4.4565845	-8.117029	-25.006767	36000	-1.180172e-08	404.67105	-0.012915179	-43.006836	0.913001	0.019216003	0.23275	5.0	408.11319160461426
9	-8.150445	42.59971	43.513996	-268.8791	13.377105	-5.9266877	6.5256176	-2.5825536	-25.301088	40000	8.106232e-09	391.68582	-0.033243325	-13.545074	0.91283584	0.015202726	0.22775	16.0	450.34232544898987
10	3.1177318	30.495316	51.170063	-178.29233	11.4827585	-3.4110425	6.2105384	-0.3562311	-26.098372	44000	3.6358834e-08	297.21826	-0.037444726	-32.086395	0.91234237	0.015329916	0.2455	17.0	494.5016231536865
11	7.085825	24.873644	44.624413	-181.49994	10.591512	1.869884	5.335385	4.0404577	-22.94714	48000	1.8119811e-08	253.29169	-0.016390441	-17.229446	0.91180795	0.015259726	0.1795	4.0	539.5628266334534
12	9.163102	27.123302	51.596565	-166.96306	9.582734	3.6585004	4.66631	5.5546627	-21.168207	52000	5.722046e-09	261.20255	-0.031796418	-13.144974	0.9116651	0.015227719	0.21675	13.0	585.4202311038971
13	12.943331	17.44085	54.4786	-123.518196	8.760965	5.9647765	3.5516763	7.8399296	-21.303629	56000	3.8146974e-09	163.71788	-0.033135284	-16.11728	0.91133875	0.015159004	0.24	19.0	632.499737739563
14	17.373314	16.157787	54.114147	-74.70244	8.008016	8.3908	2.4751773	10.357292	-15.626681	60000	9.775162e-09	146.56993	-0.015975678	-10.807724	0.9108102	0.017273879	0.3005	5.0	680.8166399002075
15	19.658554	17.308376	57.116127	-70.0863	7.810547	10.698643	3.0645661	12.875877	-18.468842	64000	-1.3053417e-08	151.67206	-0.032891978	-9.4969635	0.9106308	0.015564338	0.21875	17.0	730.4540286064148
16	21.709879	16.36508	55.77015	-63.061363	7.5471697	11.910699	3.9566853	14.623117	-17.358473	68000	1.0371208e-08	130.27783	-0.012554566	-9.87323	0.91011614	0.016458992	0.2215	5.0	780.818473815918
17	24.104656	16.634829	51.868774	-88.73082	7.113879	13.1909275	3.7835636	16.217037	-13.053372	72000	1.3113022e-08	141.6476	-0.016640749	-10.037384	0.9099671	0.015379096	0.23225	6.0	832.9667272567749
18	23.522203	16.428522	54.686264	-74.7387	6.5973597	14.434586	5.0152535	17.555628	-15.322035	76000	-3.1471252e-08	135.55672	-0.020396879	-8.975517	0.90975964	0.015916886	0.246	6.0	886.5783226490021
19	27.180906	15.872833	55.567787	-73.49177	6.4588046	15.35981	4.6314244	18.468662	-17.168388	80000	3.9339065e-09	131.2008	-0.029676912	-12.007874	0.90955436	0.015190536	0.2075	11.0	941.4662427902222
20	27.849403	17.0305	57.30068	-149.24403	6.592409	16.91795	5.688514	20.958702	-15.06035	84000	5.841255e-09	152.76224	-0.02472256	-8.895737	0.9091736	0.015212811	0.14875	9.0	996.5684106349945
21	31.651796	14.809685	56.2202	-74.72322	6.083714	17.22562	5.269428	21.847637	-16.287462	88000	-8.106232e-09	119.86187	-0.013785374	-13.573227	0.90886927	0.0152999135	0.2345	5.0	1053.4976856708527
22	30.721024	15.41891	58.456596	-65.62229	5.9244447	19.018791	7.084305	24.558367	-18.690088	92000	4.887581e-09	130.75151	-0.032129858	-8.070541	0.9087139	0.015276151	0.2275	17.0	1111.7084205150604
23	32.796497	13.899733	60.01166	-50.88868	5.616573	19.603516	6.276335	25.31814	-19.95639	96000	9.059906e-09	112.42579	-0.050381955	-8.606308	0.90818703	0.014174146	0.22925	79.0	1172.621929883957
24	34.403664	12.171067	57.571964	-16.260105	5.3235683	21.445436	5.4888873	26.850119	-7.9680367	100000	-2.5272369e-08	87.553474	-0.017427182	-8.070595	0.90599525	0.01791148	0.276	6.0	1233.5653023719788
25	36.322887	11.07392	57.265472	-9.632957	5.119078	23.0092	5.1517797	28.725506	-0.48219103	104000	-1.2397766e-08	74.642975	-0.03943562	-6.2645264	0.9058349	0.015196808	0.19725	35.0	1296.9119458198547
26	37.01175	10.945158	59.5383	-12.2616205	4.9664598	24.343868	5.3785825	30.632982	3.9222646	108000	2.2411346e-08	68.139595	-0.017721392	-3.8892517	0.9046325	0.015513712	0.24075	7.0	1360.6916809082031
27	36.9412	11.910624	59.18687	-11.037952	4.79952	25.181196	5.5406046	31.83591	4.5314984	112000	1.7404556e-08	76.391685	-0.023925353	-3.6840515	0.90444636	0.015290284	0.189	11.0	1426.0994455814362
28	37.21748	12.0274315	62.23284	-10.510102	4.823884	25.009739	6.49135	32.89818	0.73078066	116000	0.0	83.383385	-0.028713692	-3.6255875	0.9041427	0.016358417	0.19675	13.0	1491.5633082389832
29	39.57805	10.5006075	59.23861	-5.2442026	4.608295	26.02195	6.290805	33.789978	6.282328	120000	-1.0490417e-08	69.39391	-0.031590268	-6.0542755	0.90373206	0.015134605	0.216	20.0	1559.2712392807007
30	39.461494	10.856352	59.43328	-36.103138	4.5266137	27.583265	6.584276	35.253937	8.3126745	124000	-3.695488e-08	67.22583	-0.011861652	-4.6665154	0.9030642	0.019508468	0.20625	5.0	1626.9192996025085
31	39.91006	9.920948	58.99884	-4.1057534	4.5146728	27.893301	6.440652	36.26587	10.548177	128000	-3.0994414e-08	56.385586	-0.02878468	-3.4492874	0.90288997	0.015190662	0.2085	19.0	1694.8293104171753
32	41.060528	9.794735	58.984818	-31.610125	4.4681563	28.328686	6.521706	37.011158	10.8959875	132000	-5.722046e-09	59.777706	-0.033770353	-3.0754166	0.9021538	0.015107027	0.20325	26.0	1766.135547876358
33	41.92965	9.479556	60.26928	-0.87097543	4.371585	29.10555	6.757538	38.06083	10.526895	136000	-2.861023e-09	53.51027	-0.026977852	-3.5011826	0.9013612	0.015239029	0.1505	15.0	1836.3719074726105
